1,2116423
2,2097023
3,2113823
4,2114723
5,2094623
6,2098023
7,2098123
8,2095123
9,2104123
10,2115023
11,2111423
12,2113523
13,2114123
14,2114923
15,2116523
16,2116123
17,2110823
18,2013123
19,2014623
20,2006123
21,2113623
22,2114623
23,2004323
24,2003023
25,2114823
26,2116023
27,2010023
28,2003923
29,2012023
30,2010923
31,2113423
32,2117123
33,2001823
34,2115323
35,2115423
36,2007823
37,2012823
38,2116723
39,2002023
40,2113123
41,2008723
42,2118023
43,2019823
44,1993423
45,1972623
46,1961923
47,1975923
48,1974123
49,2024423
50,2028723
51,1979023
52,2107623
53,2096423
54,1972723
55,1982223
56,2114223
57,2022523
58,2022623
59,1978223
60,1978123
61,2116923
62,2021123
63,2117023
64,2024923
65,2113723
66,1983123
67,1969823
68,2115723
69,1962423
70,2102323
71,1973923
72,2018623
73,1978623
74,2114423
75,1984323
76,2101823
77,1974423
78,1998823
79,1991823
80,2116623
81,1982923
82,1974923
83,2017523
84,1974023
85,1960023
86,2117823
87,2109123
88,2117723
89,2117623
90,2117223
91,2115823
92,2115523
93,2117323
