1,2886222
2,2920622
3,2890622
4,2886622
5,2887022
6,2861322
7,2867622
8,2886922
9,99123
10,39323
11,99723
12,2910922
13,2891822
14,89123
15,93223
16,73923
17,2856522
18,2938222
19,2899222
20,2873122
21,2900322
22,2929722
23,2861422
24,2937022
25,91323
26,2945022
27,2865222
28,99023
29,99323
30,99523
31,2947622
32,2921322
33,2893322
34,99823
35,2858322
36,2919222
37,2565522
38,2784622
39,35623
40,2832722
41,2502122
42,2793822
43,2760722
44,2528522
45,2641322
46,98123
47,2516822
48,2577222
49,96723
50,96923
51,97023
52,2543722
53,2785822
54,2613222
55,97123
56,97223
57,2781622
58,2804022
59,97723
60,2681522
61,2925622
62,2833122
63,2627022
64,2635822
65,97423
66,2672222
67,94523
68,2732822
69,97823
70,2620222
71,2499922
72,2594122
73,2824522
74,2560522
75,2778222
76,2603322
77,98523
78,2793722
79,8112822
80,2586522
81,2554322
82,2539622
83,2610022
84,2654222
85,2501022
86,2750722
87,2801722
88,2802622
89,25023
90,98023
91,2527222
92,48823
93,2724222
94,2760622
95,2734222
96,2547222
97,2574522
98,2815222
99,94723
100,2852222
101,98823
102,2601922
103,2781722
104,2553222
105,2570022
106,2503422
107,2785022
108,2793022
109,2568722
110,2780222
111,2780122
112,2781022
113,2803022
114,2657722
115,99623
116,2587322
117,2633322
118,2791622
119,98623
120,33623
